# Constructed from biom file																																			
#OTU ID	B46	B23	B74	B67	B26	B07	B15	B39	B35	B70	B60	B40	B36	B47	B45	B59	B02	B06	B68	B50	B32	B77	B76	B106	B79	B99	B94	B101	B86	B44	B88	B20	B27	B89	taxonomy
OTU_8097	7	2	214	2	3	1	2	1	19	3	13	116	1	6	4	0	0	5	5	14	41	102	15	4	929	0	3	6	3	136	12	69	10	90	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces
OTU_56	7	0	0	1	0	0	5	4	6	3	57	6	74	2	2	256	2	0	1	0	51	221	11	2	23	0	197	17	0	10	4	0	95	28	k__Fungi; p__Basidiomycota; c__Pucciniomycetes; o__Pucciniales; f__Pucciniaceae; g__Puccinia
OTU_155	2	400	28	6	11	1	44	7	45	8	144	2	7	23	7	42	78	11	8	0	6	33	116	11	22	14	8	8	46	5	14	8	12	13	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae
OTU_74	0	0	0	14	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	2	0	0	0	0	30	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia sp
OTU_7	698	953	546	239	165	146	167	3196	600	64	5981	237	3626	2114	166	3688	1365	67	439	62	1289	1735	526	1181	122	16	7664	711	1112	479	126	134	122	114	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
OTU_6268	1	4	0	15	2	7	1	1	31	3	1	8	0	1	0	0	0	0	0	29	260	6	3	7	7	2	1	5	4	3	2	16	5	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia globosa
OTU_7578	0	0	4	0	0	4	0	0	2	2	1	0	0	0	2	0	0	0	0	28	0	0	2	81	3	0	0	0	0	0	0	4	2	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia sp
OTU_89	3	1	36	4	1	3	10	2	295	0	0	0	1	117	17	1	0	9	0	14	1	42	34	9	0	0	0	47	5	12	1	7	1	2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales
OTU_616	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Trichomonascaceae; g__Zygoascus; s__Zygoascus hellenicus
OTU_260	1	1	0	7	18	11	5	17	9	0	0	4	3	2	2	0	0	30	4	36	5	9	26	46	11	9	4	9	0	89	18	18	4	45	k__BLAST; p__; c__; o__; f__; g__; s__uncultured fungus
